Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Mitigation Finance ($ million),Adaptation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,
29-Oct-2022,55070-001,Preparing Clean and Renewable Energy Investments in the Pacific,FSM; REG; RMI; SOL,Federated States of Micronesia; Regional; Marshall Islands; Solomon Islands,Pacific,PARD,PAEN,Sovereign,,TRTA,Technical assistance,6826,Cofinancing (Partial administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),2.000,Energy,Energy,Mitigation,Low,2.000,,Technical assistance,USD,https://www.adb.org/projects/55070-001/main,,,,,,,
24-Jun-2022,55116-001,Sustainable and Resilient Recovery Program,FIJ,Fiji,Pacific,PARD,PASP,Sovereign,338.300,Stand-alone policy-based lending (loan),Loan,4194,ADB funds,OCR,90.000,Public sector management,Public sector management,Dual-use,Low,10.000,22.000,Investment,USD,https://www.adb.org/projects/55116-001/main,,,,,,,
24-Jun-2022,55116-001,Sustainable and Resilient Recovery Program,FIJ,Fiji,Pacific,PARD,PASP,Sovereign,,Stand-alone policy-based lending (loan),Loan,4193,ADB funds,Concessional OCR,60.000,Public sector management,Public sector management,Dual-use,Low,,,Investment,USD,https://www.adb.org/projects/55116-001/main,,,,,,,
28-Nov-2022,56235-001,"Pacific Financial Technical Assistance Centre, 2023-2028",COO; FIJ; FSM; KIR; NAU; PAL; PNG; REG; RMI; SAM; SOL; TIM; TON; TUV; VAN,Cook Islands; Fiji; Federated States of Micronesia; Kiribati; Nauru; Palau; Papua New Guinea; Regional; Marshall Islands; Samoa; Solomon Islands; Timor-Leste; Tonga; Tuvalu; Vanuatu,Regional,PARD,PASP,Sovereign,1.000,KSTA,Technical assistance,10003,ADB funds,Technical Assistance Special Fund,1.000,Public sector management,Public sector management,Mitigation,Low,0.200,,Technical assistance,USD,https://www.adb.org/projects/56235-001/main,,,,,,,
28-Nov-2022,56235-001,"Pacific Financial Technical Assistance Centre, 2023-2028",COO; FIJ; FSM; KIR; NAU; PAL; PNG; REG; RMI; SAM; SOL; TIM; TON; TUV; VAN,Cook Islands; Fiji; Federated States of Micronesia; Kiribati; Nauru; Palau; Papua New Guinea; Regional; Marshall Islands; Samoa; Solomon Islands; Timor-Leste; Tonga; Tuvalu; Vanuatu,Regional,PARD,PASP,Sovereign,,,Technical assistance,10003,ADB funds,Technical Assistance Special Fund,,Public sector management,Finance,Mitigation,Low,0.100,,Technical assistance,USD,https://www.adb.org/projects/56235-001/main,,,,,,,
5-Dec-2022,56262-001,"Preparing Projects to Enhance Transport Connectivity and Resilience in the Pacific , Phase 2",COO; FIJ; FSM; KIR; NAU; NIU; PAL; PNG; REG; RMI; SAM; SOL; TON; TUV; VAN,Cook Islands; Fiji; Federated States of Micronesia; Kiribati; Nauru; Niue; Palau; Papua New Guinea; Regional (Pacific); Marshall Islands; Samoa; Solomon Islands; Tonga; Tuvalu; Vanuatu,Pacific,PARD,PATC,Sovereign,5.000,TRTA,Technical assistance,10023,ADB funds,Technical Assistance Special Fund,5.000,Transport,Transport,Dual-use,Low,0.150,0.350,Technical assistance,USD,https://www.adb.org/projects/56262-001/main,,,,,,,
22-Dec-2022,56264-001,Promoting Climate-Resilient and Sustainable Blue Economies,COO; FIJ; FSM; KIR; NAU; NIU; PAL; PNG; REG; RMI; SAM; SOL; TIM; TON; TUV; VAN,Cook Islands; Fiji; Federated States of Micronesia; Kiribati; Nauru; Niue; Palau; Papua New Guinea; Regional; Marshall Islands; Samoa; Solomon Islands; Timor-Leste; Tonga; Tuvalu; Vanuatu,Regional,PARD,PAEN,Sovereign,,KSTA,Technical assistance,10074,ADB funds,Technical Assistance Special Fund,2.500,"Agriculture, natural resources and rural development",Public sector management,Dual-use,Low,0.100,0.400,Technical assistance,USD,https://www.adb.org/projects/56264-001/main,,,,,,,
22-Dec-2022,56264-001,Promoting Climate-Resilient and Sustainable Blue Economies,COO; FIJ; FSM; KIR; NAU; NIU; PAL; PNG; REG; RMI; SAM; SOL; TIM; TON; TUV; VAN,Cook Islands; Fiji; Federated States of Micronesia; Kiribati; Nauru; Niue; Palau; Papua New Guinea; Regional; Marshall Islands; Samoa; Solomon Islands; Timor-Leste; Tonga; Tuvalu; Vanuatu,Regional,PARD,PAEN,Sovereign,,KSTA,Technical assistance,10074,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,0.400,1.600,Technical assistance,USD,https://www.adb.org/projects/56264-001/main,,,,,,,
22-Dec-2022,56264-001,Promoting Climate-Resilient and Sustainable Blue Economies,COO; FIJ; FSM; KIR; NAU; NIU; PAL; PNG; REG; RMI; SAM; SOL; TIM; TON; TUV; VAN,Cook Islands; Fiji; Federated States of Micronesia; Kiribati; Nauru; Niue; Palau; Papua New Guinea; Regional; Marshall Islands; Samoa; Solomon Islands; Timor-Leste; Tonga; Tuvalu; Vanuatu,Regional,PARD,PAEN,Sovereign,,KSTA,Technical assistance,10074,Cofinancing (Full administration),Global Environment Facility (Least Developed Countries Fund for Climate Change),0.184,"Agriculture, natural resources and rural development",Public sector management,Dual-use,Low,,0.042,Technical assistance,USD,https://www.adb.org/projects/56264-001/main,,,,,,,
22-Dec-2022,56264-001,Promoting Climate-Resilient and Sustainable Blue Economies,COO; FIJ; FSM; KIR; NAU; NIU; PAL; PNG; REG; RMI; SAM; SOL; TIM; TON; TUV; VAN,Cook Islands; Fiji; Federated States of Micronesia; Kiribati; Nauru; Niue; Palau; Papua New Guinea; Regional; Marshall Islands; Samoa; Solomon Islands; Timor-Leste; Tonga; Tuvalu; Vanuatu,Regional,PARD,PAEN,Sovereign,,KSTA,Technical assistance,10074,Cofinancing (Full administration),Global Environment Facility (Least Developed Countries Fund for Climate Change),,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,,0.142,Technical assistance,USD,https://www.adb.org/projects/56264-001/main,,,,,,,
20-Dec-2022,53206-001,AC Energy Wind Power Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,152.000,,Loan,4240,ADB funds,OCR,25.000,Energy,Energy,Mitigation,High,25.000,,Investment,USD,https://www.adb.org/projects/53206-001/main,,,,,,,
20-Dec-2022,53206-001,AC Energy Wind Power Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,,Grant,0863,Cofinancing (Full administration),Climate Innovation and Development Fund,5.000,Energy,Energy,Mitigation,High,5.000,,Investment,USD,https://www.adb.org/projects/53206-001/main,,,,,,,
21-Mar-2022,53246-001,Developing Private Sector Sustainable Transportation Opportunities in Southeast Asia,INO; PHI; THA; VIE; REG,Indonesia; Philippines; Thailand; Viet Nam; Regional,Southeast Asia,PSOD,PSPM,Nonsovereign,0.350,KSTA,Technical assistance,9783,Cofinancing (Full administration),Climate Investment Funds (Clean Technology Fund),0.350,Transport,Transport,Mitigation,,0.035,,Technical assistance,USD,https://www.adb.org/projects/53246-001/main,,,,,,,
6-Apr-2022,53298-001,Louis Dreyfus COVID-19 Climate-Resilient Smallholder Farmer Recovery Project,IND; INO; PAK; REG; THA; VIE,India; Indonesia; Pakistan; Regional; Thailand; Viet Nam,Regional,PSOD,OPSD-AIT,Nonsovereign,296.500,Project Loan,Loan,4165,ADB funds,OCR,100.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,36.090,Investment,USD,https://www.adb.org/projects/53298-001/main,,,,,,,
27-Apr-2022,53437-001,E Smart Bangkok Mass Rapid Transit Electric Ferries Project,THA,Thailand,Southeast Asia,PSOD,PSIF2,Nonsovereign,32.700,Project Loan,Loan,4139,ADB funds,OCR,4.710,Transport,Transport,Mitigation,Low,4.710,,Investment,USD,https://www.adb.org/projects/53437-001/main,,,,,,,
27-Apr-2022,53437-001,E Smart Bangkok Mass Rapid Transit Electric Ferries Project,THA,Thailand,Southeast Asia,PSOD,PSIF2,Nonsovereign,,Project Loan,Loan,8407,Cofinancing (Full administration),Climate Investment Funds (Clean Technology Fund),3.600,Transport,Transport,Mitigation,Low,3.600,,Investment,USD,https://www.adb.org/projects/53437-001/main,,,,,,,
14-Feb-2022,54055-001,ADB Ventures Technical Assistance,REG,Regional,Regional,PSOD,OPSD,Nonsovereign,1.000,KSTA,Technical assistance,9948,ADB funds,Technical Assistance Special Fund,1.000,Information and communication technology,"Agriculture, natural resources and rural development",Dual-use,,0.100,0.067,Technical assistance,USD,https://www.adb.org/projects/54055-001/main,,,,,,,
14-Feb-2022,54055-001,ADB Ventures Technical Assistance,REG,Regional,Regional,PSOD,OPSD,Nonsovereign,,KSTA,Technical assistance,9948,ADB funds,Technical Assistance Special Fund,,Information and communication technology,Energy,Dual-use,,0.100,0.067,Technical assistance,USD,https://www.adb.org/projects/54055-001/main,,,,,,,
14-Feb-2022,54055-001,ADB Ventures Technical Assistance,REG,Regional,Regional,PSOD,OPSD,Nonsovereign,,KSTA,Technical assistance,9948,ADB funds,Technical Assistance Special Fund,,Information and communication technology,Industry and trade,Dual-use,,0.100,0.067,Technical assistance,USD,https://www.adb.org/projects/54055-001/main,,,,,,,
14-Feb-2022,54055-001,ADB Ventures Technical Assistance,REG,Regional,Regional,PSOD,OPSD,Nonsovereign,,KSTA,Technical assistance,9948,ADB funds,Technical Assistance Special Fund,,Information and communication technology,Information and communication technology,Dual-use,,0.100,0.067,Technical assistance,USD,https://www.adb.org/projects/54055-001/main,,,,,,,
14-Feb-2022,54055-001,ADB Ventures Technical Assistance,REG,Regional,Regional,PSOD,OPSD,Nonsovereign,,KSTA,Technical assistance,9948,ADB funds,Technical Assistance Special Fund,,Information and communication technology,Transport,Dual-use,,0.100,0.067,Technical assistance,USD,https://www.adb.org/projects/54055-001/main,,,,,,,
14-Feb-2022,54055-001,ADB Ventures Technical Assistance,REG,Regional,Regional,PSOD,OPSD,Nonsovereign,,KSTA,Technical assistance,9948,ADB funds,Technical Assistance Special Fund,,Information and communication technology,Water and other urban infrastructure and services,Dual-use,,0.100,0.067,Technical assistance,USD,https://www.adb.org/projects/54055-001/main,,,,,,,
9-Dec-2022,54365-001,Shriram Transport Finance Supporting Access to Finance for Small Commercial Vehicle Operators Project,IND,India,South Asia,PSOD,PSFI,Nonsovereign,200.000,Local Currency Loan,Loan,4236,ADB funds,OCR,100.000,Finance,Finance,Mitigation,Low,5.000,,Investment,USD,https://www.adb.org/projects/54365-001/main,,,,,,,
11-Feb-2022,55075-001,Administration of Equity Investment for Euler Motors Private Limited,IND,India,South Asia,PSOD,OPSD,Nonsovereign,,,Equity investment,8395,Cofinancing (Full administration),ADB Ventures Investment Fund 1,1.004,Transport,Transport,Mitigation,Low,1.004,,Investment,USD,https://www.adb.org/projects/55075-001/main,,,,,,,
10-Dec-2022,55075-001,Administration of Equity Investment for Euler Motors Private Limited,IND,India,South Asia,PSOD,OPSD,Nonsovereign,,,Equity investment,8395,Cofinancing (Full administration),ADB Ventures Investment Fund 1,0.984,Transport,Transport,Mitigation,Low,0.984,,Investment,USD,https://www.adb.org/projects/55075-001/main,,,,,,,
12-Jul-2022,55093-001,"Administration of Equity Investment for Skycatch, Inc.",REG,Regional,Regional,PSOD,OPSD,Nonsovereign,4.000,,Equity investment,8396,Cofinancing (Full administration),ADB Ventures Investment Fund 1,0.500,Industry and trade,Industry and trade,Mitigation,Low,0.500,,Investment,USD,https://www.adb.org/projects/55093-001/main,,,,,,,
11-Mar-2022,55159-001,Administration of Equity Investment for Financial Wellness Holdings Pte. Ltd.,INO,Indonesia,Southeast Asia,PSOD,OPSD,Nonsovereign,3.000,,Equity investment,8398,Cofinancing (Full administration),ADB Ventures Investment Fund 1,0.348,Finance,Finance,Adaptation,Low,,0.052,Investment,USD,https://www.adb.org/projects/55159-001/main,,,,,,,
25-Jul-2022,55175-001,Administration of Equity Investment in Fairbanc Pte. Ltd.,INO,Indonesia,Southeast Asia,PSOD,OPSD,Nonsovereign,2.000,,Equity investment,8401,Cofinancing (Full administration),ADB Ventures Investment Fund 1,0.500,Finance,Finance,Adaptation,Low,,0.100,Investment,USD,https://www.adb.org/projects/55175-001/main,,,,,,,
15-Aug-2022,55231-001,"Bank of Huzhou Decarbonizing Micro, Small, and Medium-Sized Enterprises Project",PRC,People's Republic of China,East Asia,PSOD,PSFI,Nonsovereign,50.000,LIBOR Based Loan,Loan,4175,ADB funds,OCR,47.408,Finance,Finance,Mitigation,Medium,35.000,,Investment,USD,https://www.adb.org/projects/55231-001/main,,,,,,,
23-Jun-2022,55246-001,Bank of Qingdao Blue Finance Project,PRC,People's Republic of China,East Asia,PSOD,PSFI,Nonsovereign,70.000,Project Loan,Loan,7708,ADB funds,OCR,35.000,Finance,Finance,Dual-use,Medium,28.000,1.680,Investment,USD,https://www.adb.org/projects/55246-001/main,,,,,,,
2-Sep-2022,55248-002,Zarafshan Wind Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,560.300,LIBOR Based Loan,Loan,4197,ADB funds,OCR,42.000,Energy,Energy,Mitigation,Low,42.000,,Investment,USD,https://www.adb.org/projects/55248-002/main,,,,,,,
8-Sep-2022,55248-002,Zarafshan Wind Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,,LIBOR Based Loan,Loan,BLCF106,B-loan,B-loan,10.000,Energy,Energy,Mitigation,Low,10.000,,Investment,USD,https://www.adb.org/projects/55248-002/main,,,,,,,
23-May-2022,55272-001,Administration of Equity Investment in E Green Global Co. Ltd.,PRC; REG,People's Republic of China; Regional,Regional,PSOD,OPSD,Nonsovereign,4.000,,Equity investment,8404,Cofinancing (Full administration),ADB Ventures Investment Fund 1,1.311,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Mitigation,Low,1.311,,Investment,USD,https://www.adb.org/projects/55272-001/main,,,,,,,
1-Mar-2022,55282-001,Investment in New Forests Tropical Asia Forest Fund 2 L.P.,CAM; INO; LAO; MAL; REG; SOL; THA; VIE,Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Regional; Solomon Islands; Thailand; Viet Nam,Regional,PSOD,PSIS,Nonsovereign,300.000,Project Loan,Equity investment,7707,ADB funds,OCR,5.000,Finance,Finance,Dual-use,Medium,4.000,1.000,Investment,USD,https://www.adb.org/projects/55282-001/main,,,,,,,
1-Mar-2022,55282-001,Investment in New Forests Tropical Asia Forest Fund 2 L.P.,CAM; INO; LAO; MAL; REG; SOL; THA; VIE,Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Regional; Solomon Islands; Thailand; Viet Nam,Regional,PSOD,PSIS,Nonsovereign,,Project Loan,Equity investment,8415,Cofinancing (Full administration),Australian Climate Finance Partnership,10.000,Finance,Finance,Dual-use,Medium,8.000,2.000,Investment,USD,https://www.adb.org/projects/55282-001/main,,,,,,,
3-Nov-2022,55288-001,GreenCell Electric Bus Financing Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,,Debt security,4201,ADB funds,OCR,19.438,Transport,Transport,Mitigation,Medium,19.438,,Investment,USD,https://www.adb.org/projects/55288-001/main,,,,,,,
3-Nov-2022,55288-001,GreenCell Electric Bus Financing Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,,Grant,0839,Cofinancing (Full administration),Climate Investment Funds (Clean Technology Fund),0.325,Transport,Transport,Mitigation,Medium,0.325,,Investment,USD,https://www.adb.org/projects/55288-001/main,,,,,,,
3-Nov-2022,55288-001,GreenCell Electric Bus Financing Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,,Grant,0840,Cofinancing (Full administration),Climate Innovation and Development Fund,5.200,Transport,Transport,Mitigation,Medium,5.200,,Investment,USD,https://www.adb.org/projects/55288-001/main,,,,,,,
3-Nov-2022,55288-001,GreenCell Electric Bus Financing Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,,Loan,8420,Cofinancing (Full administration),Climate Investment Funds (Clean Technology Fund),14.000,Transport,Transport,Mitigation,Medium,14.000,,Investment,USD,https://www.adb.org/projects/55288-001/main,,,,,,,
24-Jun-2022,55292-001,De Heus Sustainable and Inclusive Feed Supply Chain Project,CAM,Cambodia,Southeast Asia,PSOD,OPSD-AIT,Nonsovereign,23.700,Private sector loan,Loan,4180,ADB funds,OCR,15.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,3.350,Investment,USD,https://www.adb.org/projects/55292-001/main,,,,,,,
24-Jun-2022,55292-001,De Heus Sustainable and Inclusive Feed Supply Chain Project,CAM,Cambodia,Southeast Asia,PSOD,OPSD-AIT,Nonsovereign,,Private sector loan,Loan guarantee,4180,ADB funds,ADF,5.250,"Agriculture, natural resources and rural development",,Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/55292-001/main,,,,,,,
24-Nov-2022,55292-002,Climate-resilient Farming and Supply Chain Development to Support COVID-19 Recovery for Smallholder Poultry and Maize Farmers,CAM,Cambodia,Southeast Asia,PSOD,ODG,Nonsovereign,0.500,TRTA,Technical assistance,6914,ADB funds,Technical Assistance Special Fund,0.500,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.500,Technical assistance,USD,https://www.adb.org/projects/55292-002/main,,,,,,,
21-Oct-2022,55327-001,VinFast Electric Mobility Green Loan Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,243.950,,Loan,4203,ADB funds,OCR,20.000,Transport,Transport,Mitigation,High,20.000,,Investment,USD,https://www.adb.org/projects/55327-001/main,,,,,,,
21-Oct-2022,55327-001,VinFast Electric Mobility Green Loan Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,,Loan,8421,Cofinancing (Full administration),Australian Climate Finance Partnership,20.000,Transport,Transport,Mitigation,High,20.000,,Investment,USD,https://www.adb.org/projects/55327-001/main,,,,,,,
21-Oct-2022,55327-001,VinFast Electric Mobility Green Loan Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,,Loan,8422,Cofinancing (Full administration),Climate Investment Funds (Clean Technology Fund),5.000,Transport,Transport,Mitigation,High,5.000,,Investment,USD,https://www.adb.org/projects/55327-001/main,,,,,,,
21-Oct-2022,55327-001,VinFast Electric Mobility Green Loan Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,,Grant,0850,Cofinancing (Full administration),Climate Innovation and Development Fund,3.000,Transport,Transport,Mitigation,High,3.000,,Investment,USD,https://www.adb.org/projects/55327-001/main,,,,,,,
17-Jan-2022,55335-001,Administration of Equity Investment in Satsure Analytics India Private Limited,IND,India,South Asia,PSOD,OPSD,Nonsovereign,3.500,,Equity investment,EI7700/8409,Cofinancing (Full administration),ADB Ventures Investment Fund 1,0.822,Finance,Finance,Adaptation,Low,,0.430,Investment,USD,https://www.adb.org/projects/55335-001/main,,,,,,,
2-Aug-2022,55340-001,Alat Solar Power Project,AZE,Azerbaijan,Central and West Asia,PSOD,PSIF1,Nonsovereign,250.400,Local Currency Loan,Loan,4182,ADB funds,OCR,21.433,Energy,Energy,Mitigation,Low,21.433,,Investment,USD,https://www.adb.org/projects/55340-001/main,,,,,,,
20-Jul-2022,56009-001,Accelerating Climate Finance Investments through the Financial Sector in Bangladesh and Nepal,BAN; NEP; REG,Bangladesh; Nepal; Regional (South Asia),South Asia,PSOD,PSFI,Nonsovereign,0.600,KSTA,Technical assistance,6930,Cofinancing (Full administration),Climate Investment Funds (Strategic Climate Fund),0.600,Finance,Finance,Mitigation,Low,0.600,,Technical assistance,USD,https://www.adb.org/projects/56009-001/main,,,,,,,
5-Dec-2022,56027-001,Envoy Sustainable and Energy Efficient Textile Manufacturing Project,BAN,Bangladesh,South Asia,PSOD,PSIF1,Nonsovereign,18.420,Flexible Loan Product,Loan,4259,ADB funds,OCR,11.238,Industry and trade,Industry and trade,Mitigation,Low,11.238,,Investment,USD,https://www.adb.org/projects/56027-001/main,,,,,,,
21-Dec-2022,56099-001,"Ping An Leasing Micro, Small and Medium-Sized Enterprises Energy Efficiency Improvement Project",PRC,People's Republic of China,East Asia,PSOD,PSFI,Nonsovereign,200.000,,Loan,7738,ADB funds,OCR,103.357,Finance,Finance,Mitigation,Low,103.357,,Investment,USD,https://www.adb.org/projects/56099-001/main,,,,,,,
1-Sep-2022,56112-001,Investment in  KV Asia Capital Fund II L.P.,INO; MAL; PHI; REG; SIN; THA; VIE,Indonesia; Malaysia; Philippines; Regional; Singapore; Thailand; Viet Nam,Southeast Asia,PSOD,PSIS,Nonsovereign,200.000,,Equity investment,7718,ADB funds,OCR,15.000,Finance,Finance,Mitigation,Low,0.750,,Investment,USD,https://www.adb.org/projects/56112-001/main,,,,,,,
9-Dec-2022,56118-001,Binh Duong Waste Management and Energy Efficiency Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,32.900,SOFR Based Loan,Loan,4252,ADB funds,OCR,7.000,Energy,Energy,Mitigation,Low,7.000,,Investment,USD,https://www.adb.org/projects/56118-001/main,,,,,,,
9-Dec-2022,56118-001,Binh Duong Waste Management and Energy Efficiency Project,VIE,Viet Nam,Southeast Asia,PSOD,PSIF2,Nonsovereign,,SOFR Based Loan,Loan,8428,Cofinancing (Full administration),Leading Asia's Private Infrastructure Fund,6.000,Energy,Energy,Mitigation,Low,6.000,,Investment,USD,https://www.adb.org/projects/56118-001/main,,,,,,,
1-Dec-2022,56123-001,ABIS Climate-Resilient Aquaculture Value Chain Blue Loan Project,IND,India,South Asia,PSOD,OPSD-AIT,Nonsovereign,21.600,Local Currency Loan,Loan,4226,ADB funds,OCR,16.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,16.000,Investment,USD,https://www.adb.org/projects/56123-001/main,,,,,,,
30-Sep-2022,56123-002,"	Building Capacity for Climate Change Adaptation in Smallholder Fish Farming",IND,India,South Asia,PSOD,OPSD-AIT,Nonsovereign,0.225,TRTA,Technical assistance,6996,ADB funds,Technical Assistance Special Fund,0.225,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.225,Technical assistance,USD,https://www.adb.org/projects/56123-002/main,,,,,,,
7-Nov-2022,56134-001,Crystal Gender Bond,GEO,Georgia,Central and West Asia,PSOD,PSFI,Nonsovereign,27.000,,Loan,7735,ADB funds,OCR,6.808,Finance,Finance,Mitigation,Medium,1.500,,Investment,USD,https://www.adb.org/projects/56134-001/main,,,,,,,
3-Oct-2022,56137-001,Smartchem Climate-Smart High Efficiency Crop Nutrition Project,IND,India,South Asia,PSOD,OPSD-AIT,Nonsovereign,32.530,,Loan,4191,ADB funds,OCR,30.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,1.180,26.100,Investment,USD,https://www.adb.org/projects/56137-001/main,,,,,,,
17-Jun-2022,56137-002,Building Capacity for Climate Resilience and Soil Nutrition Management among Smallholder Farmers,IND,India,South Asia,PSOD,OPSD,Nonsovereign,0.225,TRTA,Technical assistance,6925,ADB funds,Technical Assistance Special Fund,0.225,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.225,Technical assistance,USD,https://www.adb.org/projects/56137-002/main,,,,,,,
29-Dec-2022,56145-001,Delhi Power Distribution Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,39.800,,Debt security,7753,ADB funds,OCR,18.106,Energy,Energy,Mitigation,Medium,6.500,,Investment,USD,https://www.adb.org/projects/56145-001/main,,,,,,,
25-Nov-2022,56155-001,Wabag Clean Water Supply Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,69.800,Debt Security,Debt security,7744,ADB funds,OCR,24.468,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Mitigation,Low,1.200,,Investment,USD,https://www.adb.org/projects/56155-001/main,,,,,,,
7-Oct-2022,56199-001,Georgian Green Bond 2 Project,GEO,Georgia,Central and West Asia,PSOD,PSIF1,Nonsovereign,80.000,,Debt security,7728,ADB funds,OCR,6.000,Energy,Energy,Mitigation,Low,6.000,,Investment,USD,https://www.adb.org/projects/56199-001/main,,,,,,,
7-Oct-2022,56199-001,Georgian Green Bond 2 Project,GEO,Georgia,Central and West Asia,PSOD,PSIF1,Nonsovereign,,,Loan,8423,Cofinancing (Full administration),Leading Asia's Private Infrastructure Fund,6.000,Energy,Energy,Mitigation,Low,6.000,,Investment,USD,https://www.adb.org/projects/56199-001/main,,,,,,,
17-Dec-2022,56200-001,"Investment in Growtheum Capital Partners SEA Fund I, LP",REG,Regional,Regional,PSOD,PSIS,Nonsovereign,600.000,,Equity investment,EI7747,ADB funds,OCR,30.000,Finance,Finance,Mitigation,Low,1.500,,Investment,USD,https://www.adb.org/projects/56200-001/main,,,,,,,
22-Dec-2022,56201-001,Quadria Capital Fund III LP,REG,Regional,Regional,PSOD,PSIS,Nonsovereign,800.000,Investment Fund,Equity investment,EI7752,ADB funds,OCR,25.000,Finance,Finance,Mitigation,Low,2.250,,Investment,USD,https://www.adb.org/projects/56201-001/main,,,,,,,
19-Dec-2022,56221-002,Climate-Resilient Multistoried Agroforestry System Capacity Building for Smallholder Farmers,INO,Indonesia,Southeast Asia,PSOD,OPSD,Nonsovereign,,TRTA,Technical assistance,10068,ADB funds,Technical Assistance Special Fund,0.500,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.500,Technical assistance,USD,https://www.adb.org/projects/56221-002/main,,,,,,,
15-Dec-2022,56236-001,Wyntron Electric Vehicle Charger Production Expansion Project,PHI,Philippines,Southeast Asia,PSOD,PSIF2,Nonsovereign,37.900,SOFR Based Loan,Loan,4264,ADB funds,OCR,20.000,Energy,Energy,Mitigation,Medium,20.000,,Investment,USD,https://www.adb.org/projects/56236-001/main,,,,,,,
26-Dec-2022,42169-024,Greater Dhaka Sustainable Urban Transport Project - Additional Financing,BAN,Bangladesh,South Asia,SARD,BRM,Sovereign,222.750,Project loan,Loan,4284,ADB funds,OCR,100.000,Transport,Transport,Dual-use,Medium,0.070,60.180,Investment,USD,https://www.adb.org/projects/42169-024/main,,,,,,,
1-Mar-2022,42173-016,Dhaka Environmentally Sustainable Water Supply Project – Additional Financing,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,430.000,Project loan,Loan,4126,ADB funds,OCR,85.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,7.080,12.290,Investment,USD,https://www.adb.org/projects/42173-016/main,,,,,,,
1-Mar-2022,42173-016,Dhaka Environmentally Sustainable Water Supply Project – Additional Financing,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,,Project loan,Loan,4124,ADB funds,Concessional OCR,50.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,,9.090,Investment,USD,https://www.adb.org/projects/42173-016/main,,,,,,,
1-Mar-2022,42173-016,Dhaka Environmentally Sustainable Water Supply Project – Additional Financing,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,,Project loan,Grant,0805,ADB funds,ADF,5.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/42173-016/main,,,,,,,
1-Mar-2022,42173-016,Dhaka Environmentally Sustainable Water Supply Project – Additional Financing,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,,Project loan,Loan,8405,Cofinancing (Partial administration),Agence Française de Développement,141.500,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,35.890,9.630,Investment,USD,https://www.adb.org/projects/42173-016/main,,,,,,,
