Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Mitigation Finance ($ million),Adaptation Finance ($ million),Type of Financing,Currency,Project URL,,,,
23-May-23,48434-004,Visakhapatnam-Chennai Industrial Corridor Development Program (Tranche 2),IND,India,South Asia,SARD,SAUW,Sovereign,,Investment Support,Loan,4312,ADB funds,OCR,,Water and other urban infrastructure and services,Transport,Dual-use,Medium,0.07,15.19,Investment,US$,https://www.adb.org/projects/48434-004/main,,,,https://www.adb.org/projects/48434-004/main
23-May-23,48434-004,Visakhapatnam-Chennai Industrial Corridor Development Program (Tranche 2),IND,India,South Asia,SARD,SAUW,Sovereign,,Investment Support,Loan,4312,ADB funds,OCR,,Water and other urban infrastructure and services,Industry and trade,Dual-use,Medium,0.16,19.46,Investment,US$,https://www.adb.org/projects/48434-004/main,,,,https://www.adb.org/projects/48434-004/main
28-Nov-23,50140-002,Improving Computer and Software Engineering Tertiary Education Project,BAN,Bangladesh,South Asia,SARD,SAHS,Sovereign,114,Investment Support,Loan,4348,ADB funds,Concessional OCR,100,Education,Education,Dual-use,Low,4.387,0.48,Investment,US$,https://www.adb.org/projects/50140-002/main,,,,https://www.adb.org/projects/50140-002/main
28-Nov-23,50301-005,Second Integrated Road Investment Program-Tranche 4,SRI,Sri Lanka,South Asia,SARD,,Sovereign,68.5,Investment Support,Loan,4384,ADB funds,Concessional OCR,60,Transport,Transport,Adaptation,Medium,,43.6,Investment,US$,https://www.adb.org/projects/50301-005/main,,,,https://www.adb.org/projects/50301-005/main
25-Jul-23,50349-003,Enhancing Small and Medium-Sized Enterprises Financial Services Outreach,SRI,Sri Lanka,South Asia,SG,SG-FIN,Sovereign,0.33508,TRTA,Technical assistance cofinancing,6903,Cofinancing (Full administration),Women Entrepreneurs Finance Initiative,0.33508,Finance,Finance,Dual-use,Low,0.03,0.03,Technical assistance,US$,https://www.adb.org/projects/50349-003/main,,,,https://www.adb.org/projects/50349-003/main
15-Dec-23,51073-005,Delhi-Meerut Regional Rapid Transit System Investment Project - Tranche 3,IND,India,South Asia,SARD,,Sovereign,432.8,Investment Support,Loan,4404,ADB funds,OCR,259.4534223,Transport,Transport,Dual-use,Medium,257.7924223,1.661,Investment,US$,https://www.adb.org/projects/51073-005/main,,,,https://www.adb.org/projects/51073-005/main
28-Nov-23,51296-002,Chattogram Hill Tracts Inclusive and Resilient Urban Water Supply and Sanitation Project,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,109.3,Investment Support,Loan,4366,ADB funds,Concessional OCR,90,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,12.31,44.75,Investment,US$,https://www.adb.org/projects/51296-002/main,,,,https://www.adb.org/projects/51296-002/main
13-Dec-23,51308-008,Uttarakhand Climate Resilient Power System Development Project,IND,India,South Asia,SARD,SAEN,Sovereign,252,Investment Support,Loan,4402,ADB funds,OCR,200,Energy,Energy,Dual-use,Medium,77.03,80.65,Investment,US$,https://www.adb.org/projects/51308-008/main,,,,https://www.adb.org/projects/51308-008/main
13-Dec-23,51308-008,Uttarakhand Climate Resilient Power System Development Project,IND,India,South Asia,SARD,SAEN,Sovereign,,Investment Support,Grant cofinancing,9238,Cofinancing (Full administration),Japan Fund for Prosperous and Resilient Asia and the Pacific,2,Energy,Energy,Dual-use,Medium,1.8,0.2,Investment,US$,https://www.adb.org/projects/51308-008/main,,,,https://www.adb.org/projects/51308-008/main
07-Jul-23,52097-003,South Asia Subregional Economic Cooperation Highway Enhancement Project (Kakarbhitta-Laukahi),NEP,Nepal,South Asia,SARD,SATC,Sovereign,363.218889,Investment Support,Loan,4316,ADB funds,Concessional OCR,300,Transport,Transport,Dual-use,High,11.02551,104.42697,Investment,US$,https://www.adb.org/projects/52097-003/main,,,,https://www.adb.org/projects/52097-003/main
13-Jun-23,52097-003,"Institutional Strengthening of Project Implementation, Climate Change, and Disaster Risk Resilience in the Road Sector (attached TA to South Asia Subregional Economic Cooperation Highway Enhancement Project (Kakarbhitta-Laukahi))",NEP,Nepal,South Asia,SARD,SATC,Sovereign,,TRTA,Technical assistance,10107,ADB funds,Technical Assistance Special Fund,0.75,Transport,Transport,Dual-use,High,,,Technical assistance,US$,https://www.adb.org/projects/52097-003/main,,,,https://www.adb.org/projects/52097-003/main
05-Apr-23,52227-001,Deploying Solar Systems at Scale,BAN; BHU; IND; MLD; NEP; SRI;REG,Regional (South Asia),South Asia,SG,SG-ENE,Sovereign,0.2,KSTA,Technical assistance,9742,ADB funds,Technical Assistance Special Fund,0.2,Energy,Energy,Mitigation,Low,0.2,,Technical assistance,US$,https://www.adb.org/projects/52227-001/main,,,,https://www.adb.org/projects/52227-001/main
08-Jun-23,53189-002,"Himachal Pradesh Subtropical Horticulture, Irrigation, and Value Addition Project",IND,India,South Asia,SARD,SAER,Sovereign,163.11,Investment Support,Loan,4291,ADB funds,OCR,130,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,16.8,100.7,Investment,US$,https://www.adb.org/projects/53189-002/main,,,,https://www.adb.org/projects/53189-002/main
29-Oct-23,53237-001,Climate and Disaster Resilient Small-Scale Water Resources Management Project,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,225,Investment Support,Loan,4346,ADB funds,Concessional OCR,106,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,5.4,84.3,Investment,US$,https://www.adb.org/projects/53237-001/main,,,,https://www.adb.org/projects/53237-001/main
29-Oct-23,53237-001,Climate and Disaster Resilient Small-Scale Water Resources Management Project,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,,Investment Support,Loan cofinancing,8456,Cofinancing (Partial administration),International Fund for Agricultural Development,42.98,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,2.3,31.4,Investment,US$,https://www.adb.org/projects/53237-001/main,,,,https://www.adb.org/projects/53237-001/main
29-Oct-23,53237-001,Climate and Disaster Resilient Small-Scale Water Resources Management Project,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,,Investment Support,Grant cofinancing,0906,Cofinancing (Full administration),Netherlands,17.8,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,,12.5,Investment,US$,https://www.adb.org/projects/53237-001/main,,,,https://www.adb.org/projects/53237-001/main
22-Dec-23,53276-002,Tripura Urban and Tourism Development Project,IND,India,South Asia,SARD,SAUW,Sovereign,125,Investment Support,Loan,4375,ADB funds,OCR,100,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,1.95,12.19,Investment,US$,https://www.adb.org/projects/53276-002/main,,,,https://www.adb.org/projects/53276-002/main
22-Dec-23,53276-002,Tripura Urban and Tourism Development Project,IND,India,South Asia,SARD,SAUW,Sovereign,,Investment Support,Loan,4375,ADB funds,OCR,,Water and other urban infrastructure and services,Transport,Dual-use,Medium,,0.01,Investment,US$,https://www.adb.org/projects/53276-002/main,,,,https://www.adb.org/projects/53276-002/main
04-Oct-23,54047-001,Climate Resilient Livelihood Improvement and Watershed Management in Chattogram Hill Tracts Sector Project,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,150,Investment Support,Loan,4333,ADB funds,Concessional OCR,120,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,62,Investment,US$,https://www.adb.org/projects/54047-001/main,,,,https://www.adb.org/projects/54047-001/main
29-Dec-23,54053-002,South Asia Subregional Economic Cooperation Electricity Transmission and Distribution Strengthening Project,NEP,Nepal,South Asia,SG,SG-ENE,Sovereign,1.25,TRTA,Technical assistance,10249,ADB funds,Technical Assistance Special Fund,0.75,Energy,Energy,Mitigation,Medium,0.75,,Technical assistance,US$,https://www.adb.org/projects/54053-002/main,,,,https://www.adb.org/projects/54053-002/main
29-Dec-23,54053-002,South Asia Subregional Economic Cooperation Electricity Transmission and Distribution Strengthening Project,NEP,Nepal,South Asia,SG,SG-ENE,Sovereign,,TRTA,Technical assistance cofinancing,10249,Cofinancing (Full administration),Project Preparation and Implementation Support Trust Fund,0.5,Energy,Energy,Mitigation,Medium,0.5,,Technical assistance,US$,https://www.adb.org/projects/54053-002/main,,,,https://www.adb.org/projects/54053-002/main
14-Jun-23,54307-002,Sustainable Economic Recovery Program (Subprogram 2),BAN,Bangladesh,South Asia,SARD,SAPF,Sovereign,1009.446659,Policy-Based Support,Loan,4319,ADB funds,OCR,400,Public sector management,Public sector management,Dual-use,Low,52.9,65.8,Investment,US$,https://www.adb.org/projects/54307-002/main,,,,https://www.adb.org/projects/54307-002/main
27-Jul-23,54364-001,Enhancing Connectivity and Sustainability in Bihar Roads Project,IND,India,South Asia,SARD,SATC,Sovereign,451.6,Investment Support,Loan,4322,ADB funds,OCR,295,Transport,Transport,Dual-use,High,2.7,71.45,Investment,US$,https://www.adb.org/projects/54364-001/main,,,,https://www.adb.org/projects/54364-001/main
05-Jul-23,54402-001,South Asia Subregional Economic Cooperation Customs and Logistics Reforms Program (Subprogram 1),NEP,Nepal,South Asia,SARD,SARC,Sovereign,50,Policy-Based Support,Loan,4323,ADB funds,Concessional OCR,50,Industry and Trade,Public sector management,Dual-use,Low,2.136,0.083,Investment,US$,https://www.adb.org/projects/54402-001/main,,,,https://www.adb.org/projects/54402-001/main
05-Jul-23,54402-001,South Asia Subregional Economic Cooperation Customs and Logistics Reforms Program (Subprogram 1),NEP,Nepal,South Asia,SARD,SARC,Sovereign,,Policy-Based Support,Loan,4323,ADB funds,Concessional OCR,,Industry and Trade,Industry and trade,Dual-use,Low,19.224,0.747,Investment,US$,https://www.adb.org/projects/54402-001/main,,,,https://www.adb.org/projects/54402-001/main
12-Oct-23,54464-001,Pathways for Emerging Skills and Jobs Project,BHU,Bhutan,South Asia,SARD,SAHS,Sovereign,36.091625,Investment Support,Loan,4340,ADB funds,Concessional OCR,30,Education,Education,Dual-use,Medium,4.67,1.73,Investment,US$,https://www.adb.org/projects/54464-001/main,,,,https://www.adb.org/projects/54464-001/main
12-Oct-23,54464-001,Pathways for Emerging Skills and Jobs Project,BHU,Bhutan,South Asia,SARD,SAHS,Sovereign,,Investment Support,Grant cofinancing,9236,Cofinancing (Full administration),Japan Fund for Prosperous and Resilient Asia and the Pacific,2,Education,Education,Dual-use,Medium,,0.2,Investment,US$,https://www.adb.org/projects/54464-001/main,,,,https://www.adb.org/projects/54464-001/main
15-Dec-23,54465-002,Industrial Corridor Development Program (Subprogram 2),IND,India,South Asia,SARD,INRM,Sovereign,250,Policy-Based Support,Loan,4421,ADB funds,OCR,250,Industry and trade,Industry and trade,Dual-use,Low,37.5,18.75,Investment,US$,https://www.adb.org/projects/54465-002/main,,,,https://www.adb.org/projects/54465-002/main
24-Nov-23,55002-001,Strengthening Public Financial Management and Devolved Service Delivery Program (Subprogram 1),NEP,Nepal,South Asia,SARD,SAPF,Sovereign,101.5,Policy-Based Support,Loan,4349,ADB funds,Concessional OCR,100,Public sector management,Public sector management,Adaptation,Low,,5.6,Investment,US$,https://www.adb.org/projects/55002-001/main,,,,https://www.adb.org/projects/55002-001/main
27-Oct-23,55002-001,Strengthening Public Financial Management and Devolved Service Delivery Program (Subprogram 1),NEP,Nepal,South Asia,SG,SG-PSMG,Sovereign,,TRTA,Technical assistance,10151,ADB funds,Technical Assistance Special Fund,1.5,Public sector management,Public sector management,Adaptation,Low,,,Technical assistance,US$,https://www.adb.org/projects/55002-001/main,,,,https://www.adb.org/projects/55002-001/main
04-Sep-23,55003-001,Strengthening Fiscal Management and Sustainability Program (Subprogram 1),MLD,Maldives,South Asia,SARD,SAPF,Sovereign,19.7,Policy-Based Support,Grant,0898,ADB funds,ADF,18.7,Public sector management,Public sector management,Mitigation,Low,6.51,,Investment,US$,https://www.adb.org/projects/55003-001/main,,,,https://www.adb.org/projects/55003-001/main
21-Sep-23,55003-001,Strengthening Fiscal Management and Sustainability Program (Subprogram 1),MLD,Maldives,South Asia,SG,SG-PSMG,Sovereign,,TRTA,Technical assistance,10140,ADB funds,Technical Assistance Special Fund,1,Public sector management,Public sector management,Mitigation,Low,,,Technical assistance,US$,https://www.adb.org/projects/55003-001/main,,,,
13-Nov-23,55054-002,Sustainable Urban Development and Service Delivery Program (Subprogram 2),IND,India,South Asia,SARD,SAUW,Sovereign,400,Policy-Based Support,Loan,4362,ADB funds,OCR,400,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,21.57,96.37,Investment,US$,https://www.adb.org/projects/55054-002/main,,,,https://www.adb.org/projects/55054-002/main
13-Oct-23,55075-001,Administration of Equity Investment for Euler Motors Private Limited,IND,India,South Asia,PSOD,OPSD,Nonsovereign,,Investment Support,Equity Cofinancing,8395,Cofinancing (Full administration),ADB Ventures Investment Fund 1,0.50024269,Transport,Transport,Mitigation,Low,0.50024269,,Investment,US$,https://www.adb.org/projects/55075-001/main,,,,https://www.adb.org/projects/55075-001/main
15-Dec-23,55080-001,Power Sector Reform Program (Subprogram 1),IND,India,South Asia,SARD,SAEN,Sovereign,465.62,Policy-Based Support,Loan,4401,ADB funds,OCR,250,Energy,Energy,Dual-use,Low,131.25,6.25,Investment,US$,https://www.adb.org/projects/55080-001/main,,,,https://www.adb.org/projects/55080-001/main
22-Dec-23,55080-001,Supporting Power Market Reforms for Renewable Energy Integration (Attached to Power Sector Reform Program (Subprogram 1) Loan 4401),IND,India,South Asia,SG,SG-ENE,Sovereign,,TRTA,Technical assistance,10204,ADB funds,Technical Assistance Special Fund,1,Energy,Energy,Dual-use,Low,0.7,,Technical assistance,US$,https://www.adb.org/projects/55080-001/main,,,,https://www.adb.org/projects/55080-001/main
22-Dec-23,55080-001,Supporting Power Market Reforms for Renewable Energy Integration (Attached to Power Sector Reform Program (Subprogram 1) Loan 4401),IND,India,South Asia,SG,SG-ENE,Sovereign,,TRTA,Technical assistance,10204,ADB funds,Technical Assistance Special Fund,,Energy,"Agriculture, natural resources and rural development",Dual-use,Low,0.05,0.05,Technical assistance,US$,https://www.adb.org/projects/55080-001/main,,,,https://www.adb.org/projects/55080-001/main
22-Dec-23,55080-001,Supporting Power Market Reforms for Renewable Energy Integration (Attached to Power Sector Reform Program (Subprogram 1) Loan 4401),IND,India,South Asia,SG,SG-ENE,Sovereign,,TRTA,Technical assistance cofinancing,10204,Cofinancing (Full administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.5,Energy,"Agriculture, natural resources and rural development",Dual-use,Low,0.025,0.025,Technical assistance,US$,https://www.adb.org/projects/55080-001/main,,,,https://www.adb.org/projects/55080-001/main
22-Dec-23,55080-001,Supporting Power Market Reforms for Renewable Energy Integration (Attached to Power Sector Reform Program (Subprogram 1) Loan 4401),IND,India,South Asia,SG,SG-ENE,Sovereign,,TRTA,Technical assistance cofinancing,10204,Cofinancing (Full administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),,Energy,Energy,Dual-use,Low,0.35,,Technical assistance,US$,https://www.adb.org/projects/55080-001/main,,,,https://www.adb.org/projects/55080-001/main
28-Aug-23,55148-001,Skills for Industry Competitiveness and Innovation Program,BAN,Bangladesh,South Asia,SARD,SAHS,Sovereign,708.9,Results Based Lending,Loan,4334,ADB funds,Concessional OCR,300,Education,Education,Dual-use,Medium,60.3,15.11,Investment,US$,https://www.adb.org/projects/55148-001/main,,,,https://www.adb.org/projects/55148-001/main
27-Mar-23,55156-001,BML Supporting Recovery of the Small and Medium Enterprise and Blue Economy Tourism Sector Project,MLD,Maldives,South Asia,PSOD,PSFI,Nonsovereign,60,Investment Support,Loan,4181,ADB funds,OCR,13,Finance,Finance,Dual-use,High,,,Investment,US$,https://www.adb.org/projects/55156-001/main,,,,https://www.adb.org/projects/55156-001/main
27-Mar-23,55156-001,BML Supporting Recovery of the Small and Medium Enterprise and Blue Economy Tourism Sector Project,MLD,Maldives,South Asia,PSOD,PSFI,Nonsovereign,,Investment Support,Loan cofinancing,8417,Cofinancing (Full administration),Canadian Climate Fund for the Private Sector in Asia II,9,Finance,Finance,Dual-use,High,9,,Investment,US$,https://www.adb.org/projects/55156-001/main,,,,https://www.adb.org/projects/55156-001/main
27-Mar-23,55156-001,BML Supporting Recovery of the Small and Medium Enterprise and Blue Economy Tourism Sector Project,MLD,Maldives,South Asia,PSOD,PSFI,Nonsovereign,,Investment Support,Grant,0838,ADB funds,ADF,1,Finance,Energy,Dual-use,High,,1,Investment,US$,https://www.adb.org/projects/55156-001/main,,,,https://www.adb.org/projects/55156-001/main
12-Dec-23,55191-001,Accelerating Sustainable System Development Using Renewable Energy Project,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,100.47,Investment Support,Loan,4344,ADB funds,Concessional OCR,8.5,Energy,Energy,Dual-use,High,7.4,1.1,Investment,US$,https://www.adb.org/projects/55191-001/main,,,,https://www.adb.org/projects/55191-001/main
12-Dec-23,55191-001,Accelerating Sustainable System Development Using Renewable Energy Project,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,,Investment Support,Grant,0900,ADB funds,ADF,41.5,Energy,Energy,Dual-use,High,26,10.5,Investment,US$,https://www.adb.org/projects/55191-001/main,,,,https://www.adb.org/projects/55191-001/main
12-Dec-23,55191-001,Accelerating Sustainable System Development Using Renewable Energy Project,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,,Investment Support,Grant,0900,ADB funds,ADF,,Energy,"Agriculture, natural resources and rural development",Dual-use,High,3.5,1.5,Investment,US$,https://www.adb.org/projects/55191-001/main,,,,https://www.adb.org/projects/55191-001/main
12-Dec-23,55191-001,Accelerating Sustainable System Development Using Renewable Energy Project,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,,Investment Support,Grant,0901,ADB funds,Climate Change Fund,0.5,Energy,Energy,Dual-use,High,,0.5,Investment,US$,https://www.adb.org/projects/55191-001/main,,,,https://www.adb.org/projects/55191-001/main
12-Dec-23,55191-001,Accelerating Sustainable System Development Using Renewable Energy Project,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,,Investment Support,Loan cofinancing,8454,Cofinancing (Full administration),Climate Investment Funds (Clean Technology Fund),10,Energy,Energy,Dual-use,High,7.1,2.9,Investment,US$,https://www.adb.org/projects/55191-001/main,,,,https://www.adb.org/projects/55191-001/main
12-Dec-23,55191-001,Accelerating Sustainable System Development Using Renewable Energy Project,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,,Investment Support,Grant cofinancing,0903,Cofinancing (Full administration),Asia Pacific Climate Finance Fund,3.8,Energy,Energy,Dual-use,High,3.8,,Investment,US$,https://www.adb.org/projects/55191-001/main,,,,https://www.adb.org/projects/55191-001/main
12-Dec-23,55191-001,Accelerating Sustainable System Development Using Renewable Energy Project,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,,Investment Support,Grant cofinancing,0902,Cofinancing (Full administration),Japan Fund for the Joint Crediting Mechanism,6.2,Energy,Energy,Dual-use,High,4.57,1.63,Investment,US$,https://www.adb.org/projects/55191-001/main,,,,https://www.adb.org/projects/55191-001/main
12-Dec-23,55191-001,Accelerating Sustainable System Development Using Renewable Energy Project,MLD,Maldives,South Asia,SARD,SAEN,Sovereign,,Investment Support,Grant cofinancing,0904,Cofinancing (Full administration),Climate Investment Funds (Clean Technology Fund),5,Energy,Energy,Dual-use,High,3,2,Investment,US$,https://www.adb.org/projects/55191-001/main,,,,https://www.adb.org/projects/55191-001/main
15-Dec-23,55196-001,"Supporting India’s Energy Transition Through Carbon Capture, Utilization and Storage and Low-Carbon Technologies",IND,India,South Asia,SG,SG-ENE,Sovereign,2,KSTA,Technical assistance cofinancing,10167,Cofinancing (Full administration),Japan Fund for Prosperous and Resilient Asia and the Pacific,2,Energy,Energy,Mitigation,Low,2,,Technical assistance,US$,https://www.adb.org/projects/55196-001/main,,,,https://www.adb.org/projects/55196-001/main
14-Aug-23,55307-001,Improving Urban Governance and Infrastructure Program,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,691.29,Results Based Lending,Loan,4328,ADB funds,Concessional OCR,300,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,11.1,169.24,Investment,US$,https://www.adb.org/projects/55307-001/main,,,,https://www.adb.org/projects/55307-001/main
14-Aug-23,55307-001,Improving Urban Governance and Infrastructure Program,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,,Results Based Lending,Loan cofinancing,8451,Cofinancing (Partial administration),Agence Française de Développement,200,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,,120.9,Investment,US$,https://www.adb.org/projects/55307-001/main,,,,https://www.adb.org/projects/55307-001/main
01-Oct-23,55307-001,"	Improving Urban Governance and Infrastructure Program",BAN,Bangladesh,South Asia,SG,SG-WUD,Sovereign,,TRTA,Technical assistance,10124,ADB funds,Technical Assistance Special Fund,1,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,,,Technical assistance,US$,https://www.adb.org/projects/55307-001/main,,,,https://www.adb.org/projects/55307-001/main
01-Oct-23,55307-001,"	Improving Urban Governance and Infrastructure Program",BAN,Bangladesh,South Asia,SG,SG-WUD,Sovereign,,TRTA,Technical assistance cofinancing,10124,Cofinancing (Full administration),Japan Fund for Prosperous and Resilient Asia and the Pacific,1,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,,,Technical assistance,US$,https://www.adb.org/projects/55307-001/main,,,,https://www.adb.org/projects/55307-001/main
16-Mar-23,55335-001,Administration of Equity Investment in Satsure Analytics India Private Limited,IND,India,South Asia,PSOD,OPSD,Nonsovereign,,Investment Support,Equity Cofinancing,8409,Cofinancing (Full administration),ADB Ventures Investment Fund 1,0.0637276,Finance,Finance,Adaptation,Low,,0.033,Investment,US$,https://www.adb.org/projects/55335-001/main,,,,https://www.adb.org/projects/55335-001/main
06-Oct-23,55335-001,Administration of Equity Investment in Satsure Analytics India Private Limited,IND,India,South Asia,PSOD,OPSD,Nonsovereign,,Investment Support,Equity Cofinancing,8409,Cofinancing (Full administration),ADB Ventures Investment Fund 1,0.99806395,Finance,Finance,Adaptation,Low,,0.521,Investment,US$,https://www.adb.org/projects/55335-001/main,,,,https://www.adb.org/projects/55335-001/main
28-Nov-23,56004-001,Smart Metering Energy Efficiency Improvement Project,BAN,Bangladesh,South Asia,SARD,SAEN,Sovereign,265.94,Investment Support,Loan,4386,ADB funds,OCR,200,Energy,Energy,Mitigation,Medium,176.61,,Investment,US$,https://www.adb.org/projects/56004-001/main,,,,https://www.adb.org/projects/56004-001/main
28-Dec-23,56004-001,Smart Metering Energy Efficiency Improvement Project,BAN,Bangladesh,South Asia,SG,SG-ENE,Sovereign,,TRTA,Technical assistance,10187,ADB funds,Technical Assistance Special Fund,1,Energy,Energy,Mitigation,Medium,,,Technical assistance,US$,https://www.adb.org/projects/56004-001/main,,,,https://www.adb.org/projects/56004-001/main
28-Dec-23,56004-001,Smart Metering Energy Efficiency Improvement Project,BAN,Bangladesh,South Asia,SG,SG-ENE,Sovereign,,TRTA,Technical assistance cofinancing,10187,Cofinancing (Full administration),Republic of Korea e-Asia and Knowledge Partnership Fund,0.75,Energy,Energy,Mitigation,Medium,,,Technical assistance,US$,https://www.adb.org/projects/56004-001/main,,,,https://www.adb.org/projects/56004-001/main
04-Oct-23,56090-001,Strengthening Transit-Oriented Development for Urban Transformation in Indian Cities,IND,India,South Asia,SG,SG-WUD,Sovereign,2.5,KSTA,Technical assistance cofinancing,10116,Cofinancing (Full administration),Urban Resilience Trust Fund under the Urban Financing Partnerships Facility,2.5,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,1.05,0.3,Technical assistance,US$,https://www.adb.org/projects/56090-001/main,,,,https://www.adb.org/projects/56090-001/main
20-Dec-23,56093-001,Supporting the Development of Economic Zones and Small and Medium-Sized Enterprise Dynamism to Boost Competitiveness and Jobs,SRI,Sri Lanka,South Asia,SG,SG-PSMG,Sovereign,0.75,KSTA,Technical assistance,10192,ADB funds,Technical Assistance Special Fund,0.75,Industry and trade,Industry and trade,Dual-use,Low,0.03,0.03,Technical assistance,US$,https://www.adb.org/projects/56093-001/main,,,,https://www.adb.org/projects/56093-001/main
11-Jan-23,56094-001,Strengthening Climate-Resilient Urban Development,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,0.75,KSTA,Technical assistance,6965,ADB funds,Technical Assistance Special Fund,0.75,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Low,,0.025,Technical assistance,US$,https://www.adb.org/projects/56094-001/main,,,,https://www.adb.org/projects/56094-001/main
11-Jan-23,56094-001,Strengthening Climate-Resilient Urban Development,BAN,Bangladesh,South Asia,SARD,SAUW,Sovereign,,KSTA,Technical assistance,6965,ADB funds,Technical Assistance Special Fund,,Water and other urban infrastructure and services,Transport,Adaptation,Low,,0.01,Technical assistance,US$,https://www.adb.org/projects/56094-001/main,,,,https://www.adb.org/projects/56094-001/main
23-Aug-23,56116-001,FPL Tamil Nadu Open Access Solar Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan,7733,ADB funds,OCR,14.65109012,Energy,Energy,Mitigation,Low,14.65109012,,Investment,US$,https://www.adb.org/projects/56116-001/main,,,,https://www.adb.org/projects/56116-001/main
23-Mar-23,56145-001,Delhi Power Distribution Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Grant cofinancing,0875,Cofinancing (Full administration),Climate Innovation and Development Fund,2,Energy,Energy,Mitigation,Medium,2,,Investment,US$,https://www.adb.org/projects/56145-001/main,,,,https://www.adb.org/projects/56145-001/main
07-Jul-23,56161-001,Investment in True North (GIFT) Fund VII,IND,India,South Asia,PSOD,PSIS,Nonsovereign,800,Investment Support,Equity,7724,ADB funds,OCR,50,Finance,Finance,Mitigation,Low,2.77,,Investment,US$,https://www.adb.org/projects/56161-001/main,,,,https://www.adb.org/projects/56161-001/main
28-Dec-23,56237-001,Cygnus Affordable Hospitals Project,IND,India,South Asia,PSOD,OPSD-SST,Nonsovereign,30,Investment Support,Loan,7796,ADB funds,OCR,18.02429675,Health,Health,Mitigation,Low,1,,Investment,US$,https://www.adb.org/projects/56237-001/main,,,,https://www.adb.org/projects/56237-001/main
26-Jun-23,56246-001,Promoting Private Sector Investment in Energy Transition,SRI,Sri Lanka,South Asia,SG,SG-ENE,Sovereign,2,KSTA,Technical assistance cofinancing,10105,Cofinancing (Full administration),Japan Fund for Prosperous and Resilient Asia and the Pacific,1,Energy,Energy,Mitigation,Low,1,,Technical assistance,US$,https://www.adb.org/projects/56246-001/main,,,,https://www.adb.org/projects/56246-001/main
26-Jun-23,56246-001,Promoting Private Sector Investment in Energy Transition,SRI,Sri Lanka,South Asia,SG,SG-ENE,Sovereign,,KSTA,Technical assistance cofinancing,10105,Cofinancing (Full administration),Republic of Korea e-Asia and Knowledge Partnership Fund,1,Energy,Energy,Mitigation,Low,1,,Technical assistance,US$,https://www.adb.org/projects/56246-001/main,,,,https://www.adb.org/projects/56246-001/main
11-Dec-23,56253-001,Climate-Resilient Inclusive Development Program (Subprogram 1),BAN,Bangladesh,South Asia,SARD,SAPF,Sovereign,890,Policy-Based Support,Loan,4423,ADB funds,Concessional OCR,400,Public sector management,Public sector management,Dual-use,High,72.727276,327.272724,Investment,US$,https://www.adb.org/projects/56253-001/main,,,,https://www.adb.org/projects/56253-001/main
